measurement_time	3D_X	3D_Y	3D_Z	3D_Q2	3D_Q1	2D_Y2	2D_Y1	2D_X1	2D_X2
6933019893724884992	-0.314286	-0.357433	-0.0466187	0.488255	-0.604355	2.30567	2.95983	-2.95017	-0.0465204
6933019887291637760	-0.312333	-0.357328	-0.0541995	0.488819	-0.604307	2.30501	2.96002	-2.95013	-0.0491579
6933019880858393600	-0.312569	-0.357542	-0.0542494	0.488284	-0.604674	2.30574	2.96005	-2.95035	-0.0458812
6933019874425147392	-0.317851	-0.358479	-0.0336791	0.488105	-0.601998	2.30579	2.95974	-2.9502	-0.062616
6933019867991903232	-0.313448	-0.358056	-0.0505395	0.488239	-0.604552	2.30542	2.95984	-2.95012	-0.0302461
6933019861558654976	-0.312579	-0.357739	-0.0548709	0.487846	-0.604198	2.30535	2.95981	-2.95025	-0.0541544
6933019855125408768	-0.313927	-0.356196	-0.0485606	0.487576	-0.598142	2.30552	2.9597	-2.95036	-0.0500113
6933019848692163584	-0.312397	-0.358453	-0.0551994	0.488347	-0.604219	2.3054	2.96001	-2.95026	-0.0499743
6933019842258917376	-0.314173	-0.357769	-0.0462741	0.488186	-0.604421	2.30568	2.95976	-2.9501	-0.0474881
6933019835825671168	-0.316429	-0.385289	-0.0446703	0.401962	-0.496937	2.30535	2.95974	-2.95074	-0.0526215
6933019829392425984	-0.312505	-0.358648	-0.0547631	0.487822	-0.604386	2.30569	2.9601	-2.9503	-0.0537905
6933019822959179776	-0.312221	-0.35731	-0.0540578	0.48775	-0.604249	2.30541	2.9598	-2.95008	-0.07196
6933019816525932544	-0.312566	-0.356177	-0.0497763	0.487952	-0.60442	2.30528	2.95972	-2.95038	-0.0406271
6933019810092687360	-0.317955	-0.397527	-0.0413453	0.364984	-0.455204	2.3058	2.95991	-2.9508	-0.0271094
6933019803659441152	-0.312284	-0.356921	-0.0541142	0.488513	-0.60427	2.30524	2.96001	-2.95012	-0.0606113
6933019797226194944	-0.312519	-0.358273	-0.0549321	0.488118	-0.604309	2.30558	2.96	-2.95021	-0.0545746
6933019790792949760	-0.311706	-0.357447	-0.0533461	0.488036	-0.603837	2.30591	2.96	-2.95044	-0.0557517
6933019784359702528	-0.312019	-0.358366	-0.0524267	0.488614	-0.604392	2.30543	2.95978	-2.95013	-0.0652696
6933019777926456320	-0.311801	-0.357284	-0.0546198	0.488437	-0.60422	2.30539	2.96017	-2.95013	-0.059204
