measurement_time	3D_X	3D_Z	2D_Y2	2D_Y1	2D_X1	2D_X2
6929877121615794176	-0.416556	-0.0985737	-0.164424	-0.0971557	-0.213412	-0.0966766
6929877128087715840	-0.414102	-0.0993744	-0.154475	-0.0970721	-0.207776	-0.0966862
6929877134559637504	-0.412533	-0.0981975	-0.157061	-0.0969563	-0.207477	-0.0972586
6929877141031561216	-0.412096	-0.0973197	-0.163707	-0.0966702	-0.209544	-0.0968824
6929877147494885376	-0.416353	-0.0962907	-0.164659	-0.0964933	-0.209994	-0.0973551
6929877153958210560	-0.412584	-0.0985255	-0.156376	-0.0962618	-0.209319	-0.0979146
6929877160421535744	-0.414044	-0.0979049	-0.15609	-0.095892	-0.212695	-0.0974419
6929877166884861952	-0.416141	-0.0979821	-0.163347	-0.0963615	-0.209264	-0.0959242
6929877173348188160	-0.415617	-0.0966991	-0.164836	-0.0963583	-0.213721	-0.0948245
6929877179820108800	-0.412707	-0.096355	-0.157633	-0.0958213	-0.20983	-0.0941428
6929877186283435008	-0.412581	-0.097548	-0.164624	-0.0958631	-0.212621	-0.0976605
6929877192755356672	-0.413305	-0.09813	-0.156501	-0.0956637	-0.211245	-0.0977345
6929877199218681856	-0.413723	-0.0969692	-0.164456	-0.0969788	-0.210197	-0.096593
6929877205682008064	-0.413552	-0.0982876	-0.155376	-0.0972071	-0.21065	-0.0966991
6929877212145335296	-0.416658	-0.0967473	-0.164202	-0.0958084	-0.212911	-0.0966637
6929877218608659456	-0.412527	-0.0976734	-0.166781	-0.0958566	-0.211068	-0.0968888
6929877225071986688	-0.413041	-0.0977859	-0.157961	-0.0963775	-0.210203	-0.095519
6929877231535311872	-0.413912	-0.0983101	-0.155196	-0.0972811	-0.212065	-0.0968856
6929877237998639104	-0.412893	-0.0977763	-0.163559	-0.0966477	-0.208811	-0.0968792
6929877244461965312	-0.413019	-0.0973969	-0.158839	-0.0964579	-0.210165	-0.0966541
6929877250925291520	-0.413771	-0.0966444	-0.155919	-0.0969274	-0.207625	-0.0967087
6929877257388615680	-0.406751	-0.0895028	-0.14917	-0.0865413	-0.203255	-0.0869754
6929877263851943936	-0.413514	-0.0984419	-0.156881	-0.0965062	-0.20894	-0.0963647
6929877270315268096	-0.413781	-0.0983679	-0.155646	-0.0958309	-0.209882	-0.0960013
6929877276778595328	-0.417626	-0.0982779	-0.163829	-0.0972393	-0.211834	-0.0953518
6929877283241920512	-0.408739	-0.0889594	-0.149678	-0.0903227	-0.206293	-0.0906379
6929877289705245696	-0.412887	-0.0981782	-0.155826	-0.0965094	-0.210721	-0.0972136
6929877296168571904	-0.415504	-0.0977988	-0.163916	-0.096892	-0.211065	-0.0977538
6929877302631898112	-0.415742	-0.0971235	-0.163669	-0.0960528	-0.213946	-0.0976959
6929877309095226368	-0.41371	-0.0972843	-0.156032	-0.0966058	-0.209586	-0.0962618
6929877315558552576	-0.416224	-0.098757	-0.163415	-0.095519	-0.211499	-0.0965898
6929877322021877760	-0.413562	-0.0977184	-0.164562	-0.0964483	-0.210972	-0.096339
6929877328485203968	-0.41589	-0.0984708	-0.158295	-0.0965512	-0.210216	-0.0965866
6929877334948529152	-0.416565	-0.0972908	-0.16455	-0.0968599	-0.213181	-0.0965448
6929877341411855360	-0.41244	-0.0968084	-0.164579	-0.0971235	-0.210756	-0.0974129
6929877347875181568	-0.414125	-0.0978502	-0.158852	-0.0961042	-0.210223	-0.0972489
6929877354338507776	-0.413192	-0.0968213	-0.154652	-0.097593	-0.209229	-0.0956444
6929877360806130688	-0.416273	-0.0991139	-0.16298	-0.0962039	-0.211171	-0.0962393
6929877367269457920	-0.416009	-0.0980528	-0.164466	-0.0960946	-0.21321	-0.0963261
6929877373732783104	-0.4067	-0.0902263	-0.146906	-0.0884385	-0.203628	-0.0883838
6929877380196110336	-0.414006	-0.0978374	-0.155347	-0.0975898	-0.209554	-0.0952553
6929877386659434496	-0.416041	-0.0975319	-0.161508	-0.0970817	-0.208647	-0.0971235
6929877393122763776	-0.415257	-0.0978792	-0.164392	-0.0961653	-0.20892	-0.0973197
6929877399586088960	-0.405459	-0.085493	-0.142523	-0.0849528	-0.200579	-0.0874223
6929877406049414144	-0.415478	-0.096757	-0.164363	-0.0966058	-0.21194	-0.096384
6929877412512741376	-0.412945	-0.0976027	-0.163884	-0.0962618	-0.211731	-0.0969306
6929877418976067584	-0.412781	-0.0967891	-0.163389	-0.0955833	-0.210258	-0.0963357
6929877425439392768	-0.415977	-0.0983905	-0.164562	-0.0967956	-0.212313	-0.095892
6929877431902718976	-0.413144	-0.0972264	-0.165161	-0.0977795	-0.213557	-0.0972586
6929877438366044160	-0.414285	-0.0980014	-0.164228	-0.0963679	-0.212779	-0.0975962
6929877444837970944	-0.41599	-0.0978728	-0.163868	-0.0966734	-0.213158	-0.0972104
6929877451301292032	-0.415839	-0.0971782	-0.155263	-0.0965608	-0.212406	-0.0968663
6929877457764616192	-0.415437	-0.0979885	-0.164328	-0.0962843	-0.210348	-0.097429
6929877464227942400	-0.414562	-0.0980142	-0.164482	-0.0955865	-0.21247	-0.0970978
6929877470691268608	-0.41334	-0.0975416	-0.156855	-0.0964097	-0.210178	-0.0961396
6929877477154596864	-0.416549	-0.097921	-0.16189	-0.0971075	-0.215937	-0.0956669
6929877483626517504	-0.416138	-0.0979113	-0.163434	-0.0968438	-0.215461	-0.0960238
6929877490089841664	-0.412687	-0.0963293	-0.156713	-0.0944868	-0.208213	-0.0953261
6929877496561764352	-0.414922	-0.0971364	-0.16446	-0.0960238	-0.209274	-0.0967923
6929877503025089536	-0.416147	-0.0964547	-0.163485	-0.0966669	-0.210689	-0.0963036
6929877509488416768	-0.413182	-0.0978985	-0.163871	-0.0965222	-0.211072	-0.0973936
6929877515960336384	-0.403478	-0.0873484	-0.141588	-0.084448	-0.196534	-0.0850815
6929877522423663616	-0.414009	-0.0982522	-0.156884	-0.096802	-0.210461	-0.0963486
6929877528886987776	-0.414993	-0.0972168	-0.164151	-0.0960271	-0.213332	-0.0957409
6929877535358909440	-0.409282	-0.0915157	-0.157356	-0.0919016	-0.205206	-0.0899433
6929877541822236672	-0.413205	-0.0977345	-0.164752	-0.0972843	-0.209924	-0.0968985
6929877548294156288	-0.412465	-0.0978695	-0.160379	-0.0967634	-0.210827	-0.0970496
6929877554757482496	-0.412748	-0.0967248	-0.165164	-0.0965737	-0.21147	-0.0969821
6929877561220808704	-0.413096	-0.0984483	-0.155234	-0.0963518	-0.212548	-0.0961525
6929877567684136960	-0.415623	-0.0987763	-0.160469	-0.0960303	-0.211499	-0.096921
6929877574147461120	-0.416166	-0.0985898	-0.163514	-0.0968438	-0.212856	-0.0969949
6929877580610788352	-0.412462	-0.0978374	-0.16436	-0.096638	-0.211744	-0.0956444
6929877587074113536	-0.413369	-0.0973583	-0.155848	-0.0971879	-0.21092	-0.0969596
6929877593537440768	-0.415273	-0.098384	-0.163948	-0.0972715	-0.214085	-0.0969177
6929877600000764928	-0.414629	-0.0971332	-0.164903	-0.0963325	-0.213628	-0.0970239
6929877606464093184	-0.412832	-0.0963583	-0.160849	-0.0972747	-0.208428	-0.0960881
6929877612927418368	-0.413189	-0.0983036	-0.155569	-0.0969788	-0.211348	-0.0977023
6929877619399337984	-0.415623	-0.0978728	-0.163839	-0.0962264	-0.215667	-0.0970464
6929877625862664192	-0.416855	-0.0984837	-0.157611	-0.0958791	-0.210885	-0.0967698
6929877632325991424	-0.419015	-0.098294	-0.156398	-0.0968149	-0.21147	-0.0957216
6929877638789315584	-0.412671	-0.0974033	-0.164177	-0.0974451	-0.21048	-0.096474
