measurement_time	3D_X	3D_Z	2D_Y2	2D_Y1	2D_X1	2D_X2
6931032799330657280	-0.40442	-2.00782	-0.114738	-0.0899401	-2.74873	-7.14703
6931032792867331072	-0.405977	-2.00677	-0.116995	-0.0905189	-2.74757	-7.14654
6931032786404004864	-0.384024	-1.98436	-0.107748	-0.0670103	-2.72591	-7.12354
6931032779940678656	-0.380902	-1.98035	-0.106275	-0.0641035	-2.72768	-7.11965
6931032773477352448	-0.399173	-2.00487	-0.131481	-0.0880011	-2.74883	-7.14382
6931032767014026240	-0.404311	-2.00747	-0.116378	-0.0908533	-2.74297	-7.14607
6931032760550700032	-0.394706	-1.99746	-0.12206	-0.0792228	-2.7424	-7.13673
6931032754087374848	-0.374198	-1.9701	-0.0914964	-0.052862	-2.71653	-7.10837
6931032747624047616	-0.399449	-2.00686	-0.130005	-0.090043	-2.74841	-7.14622
6931032741160721408	-0.40469	-2.00698	-0.119854	-0.0896893	-2.74873	-7.14739
6931032734697395200	-0.399224	-2.00261	-0.114513	-0.0842229	-2.74058	-7.14185
6931032728225474560	-0.37824	-1.97805	-0.0991718	-0.061724	-2.72093	-7.11781
6931032721762149376	-0.386053	-1.98715	-0.112883	-0.070229	-2.73212	-7.12676
6931032715298823168	-0.399568	-2.00782	-0.127552	-0.0895896	-2.74718	-7.1457
6931032708835496960	-0.404954	-2.00848	-0.115777	-0.0902938	-2.74736	-7.14723
6931032702372170752	-0.383281	-1.98368	-0.103821	-0.0659395	-2.72653	-7.12102
6931032695908844544	-0.377413	-1.97362	-0.0958791	-0.0587464	-2.72231	-7.11246
6931032689445518336	-0.397841	-2.00382	-0.129748	-0.0890719	-2.74665	-7.14637
6931032682982191104	-0.40334	-2.00774	-0.119002	-0.0916925	-2.74826	-7.14679
6931032676518865920	-0.404173	-2.00794	-0.119963	-0.0907633	-2.7455	-7.14832
6931032670055539712	-0.384526	-1.98644	-0.113105	-0.0690875	-2.72919	-7.12285
6931032663587915776	-0.386503	-1.98661	-0.113214	-0.0704959	-2.73321	-7.12619
6931032657115996160	-0.399954	-2.00836	-0.126812	-0.0905157	-2.74869	-7.14718
6931032650652669952	-0.40478	-2.00794	-0.118703	-0.089178	-2.74409	-7.14729
6931032644180748288	-0.382735	-1.98246	-0.104532	-0.0657691	-2.72344	-7.1225
6931032637717422080	-0.382815	-1.98124	-0.108342	-0.0659202	-2.73039	-7.12176
6931032631254096896	-0.397944	-2.007	-0.130382	-0.0898533	-2.74759	-7.14635
6931032624782176256	-0.405182	-2.00785	-0.119301	-0.0907215	-2.7492	-7.14693
6931032618318849024	-0.39698	-2.00092	-0.120848	-0.0826698	-2.7419	-7.1394
6931032611846928384	-0.377323	-1.97687	-0.0993358	-0.0613896	-2.72074	-7.11658
6931032605383602176	-0.396523	-2.00238	-0.127539	-0.0853419	-2.74613	-7.14323
6931032598920275968	-0.406359	-2.0073	-0.119246	-0.090326	-2.74769	-7.14737
6931032592448354304	-0.404115	-2.00507	-0.117134	-0.0886764	-2.74684	-7.14515
6931032585985029120	-0.379346	-1.9798	-0.100127	-0.0643639	-2.72259	-7.1194
6931032579521702912	-0.381468	-1.98476	-0.110648	-0.0685762	-2.72857	-7.12379
